node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
69,77,81.741588,REGISTERED,7,
69,76,156.710958,,8,
69,78,79.863637,REGISTERED,7,
69,79,108.844901,ROUTER,7,
69,70,119.055298,,8,
70,79,63.494591,ROUTER,7,
70,78,135.738007,,8,
70,71,73.798259,REGISTERED,9,
71,79,124.037476,,9,
72,73,90.938278,REGISTERED,5,
72,74,182.851143,,6,
73,75,176.356449,,6,
73,74,94.404795,REGISTERED,5,
74,75,87.026371,CLUSTER_HEAD,6,
74,76,149.371315,,7,
75,77,167.622346,,8,
75,76,67.403749,REGISTERED,7,
76,77,100.309437,REGISTERED,7,
76,78,163.571685,,8,
77,78,63.348839,REGISTERED,7,
77,79,144.678573,,8,
78,79,86.206586,ROUTER,7,
