clusterhead_1,clusterhead_2,distance
47,64,249.040304
47,66,179.542198
47,68,217.198674
47,69,260.999980
47,70,524.255668
47,74,301.019665
47,77,263.862323
47,80,553.911416
47,81,510.881770
47,82,485.557410
47,84,362.339032
47,86,310.297125
47,89,361.800119
47,91,551.630280
47,92,485.073213
47,93,450.962439
47,94,399.124215
47,95,395.901901
49,53,463.126226
49,55,332.631665
49,57,166.826625
49,60,693.062015
49,61,648.335740
49,62,543.563660
49,64,403.626635
49,66,286.254515
49,68,201.421586
49,69,175.519731
49,70,697.305049
49,74,451.756052
49,77,306.860011
49,80,719.448909
49,81,671.163771
49,82,634.961106
49,84,486.279142
49,86,377.917013
49,89,319.297850
49,91,698.523743
49,92,623.219661
49,93,581.516010
49,94,509.897841
49,95,490.963950
53,55,136.963678
53,57,308.018999
53,60,235.006850
53,61,193.644891
53,62,126.071381
53,64,147.117581
53,66,262.881395
53,68,410.438596
53,69,487.360422
53,70,252.066567
53,74,164.332078
53,77,368.347066
53,80,297.985039
53,81,272.071834
53,82,280.055197
53,84,264.880266
53,86,352.311023
53,89,522.202611
53,91,342.217524
53,92,309.276018
53,93,303.067184
53,94,316.027099
53,95,347.246041
55,57,172.213834
55,60,360.562054
55,61,315.706783
55,62,214.205073
55,64,103.642968
55,66,140.924020
55,68,277.139707
55,69,351.505795
55,70,365.751276
55,74,154.460436
55,77,253.237408
55,80,394.448674
55,81,352.693049
55,82,332.948566
55,84,238.463667
55,86,259.000936
55,89,398.901038
55,91,399.491967
55,92,340.342447
55,93,313.854574
55,94,285.012815
55,95,298.475739
57,60,531.419517
57,61,485.997929
57,62,378.192898
57,64,236.810375
57,66,130.106168
57,68,144.301290
57,69,196.113290
57,70,532.608489
57,74,285.350045
57,77,195.522391
57,80,552.795098
57,81,504.352794
57,82,469.420734
57,84,327.845720
57,86,249.720931
57,89,288.470915
57,91,533.727057
57,92,460.635069
57,93,421.360615
57,94,357.859191
57,95,347.263018
60,61,46.235545
60,62,163.535219
60,64,313.197449
60,66,453.712346
60,68,608.781762
60,69,691.913364
60,70,54.767822
60,74,285.820600
60,77,536.378191
60,80,128.476546
60,81,158.093023
60,82,222.340740
60,84,343.829975
60,86,491.962726
60,89,692.522304
60,91,245.453107
60,92,277.742430
60,93,309.374774
60,94,380.704917
60,95,427.266104
61,62,117.754552
61,64,267.020031
61,66,407.505354
61,68,562.576793
61,69,645.678873
61,70,63.909560
61,74,240.631877
61,77,491.038737
61,80,130.748047
61,81,141.822165
61,82,196.954089
61,84,303.102412
61,86,448.113743
61,89,647.452381
61,91,231.265894
61,92,250.375954
61,93,276.822426
61,94,342.376689
61,95,388.089395
62,64,150.563105
62,66,291.113546
62,68,446.034688
62,69,529.729258
62,70,154.809317
62,74,123.394291
62,77,373.411872
62,80,181.286407
62,81,147.332532
62,82,156.610243
62,84,197.463261
62,86,332.736804
62,89,530.023006
62,91,216.712427
62,92,193.358221
62,93,199.691495
62,94,242.909318
62,95,284.985493
64,66,140.600248
64,68,295.625786
64,69,379.168308
64,70,303.998254
64,74,52.292137
64,77,230.660098
64,80,316.898789
64,81,267.542765
64,82,236.612764
64,84,138.310395
64,86,205.926029
64,89,387.588554
64,91,302.593652
64,92,238.377562
64,93,210.241534
64,94,187.557924
64,95,209.209226
66,68,155.071853
66,69,238.673273
66,70,443.745436
66,74,177.722431
66,77,112.642690
66,80,450.911161
66,81,397.279961
66,82,353.078743
66,84,200.204568
66,86,134.660182
66,89,260.103814
66,91,414.705911
66,92,337.454943
66,93,295.265122
66,94,227.847840
66,95,218.240621
68,69,85.155818
68,70,597.897114
68,74,329.803535
68,77,113.718367
68,80,601.097674
68,81,545.309183
68,82,494.407489
68,84,327.861873
68,86,189.068940
68,89,144.958695
68,91,551.475138
68,92,469.489181
68,93,422.217050
68,94,337.847965
68,95,309.042535
69,70,682.279377
69,74,414.658542
69,77,190.936469
69,80,686.237440
69,81,630.451962
69,82,579.073532
69,84,411.468161
69,86,265.656790
69,89,145.736122
69,91,635.415045
69,92,552.902061
69,93,505.011627
69,94,418.487485
69,95,386.450568
70,74,269.005792
70,77,517.620696
70,80,74.003336
70,81,106.796723
70,82,175.010033
70,84,312.795363
70,86,467.330968
70,89,671.700418
70,91,191.997434
70,92,230.951881
70,93,266.937240
70,94,344.912363
70,95,392.433502
74,77,250.571654
74,80,273.262805
74,81,220.774614
74,82,185.176691
74,84,101.101626
74,86,210.380020
74,89,406.820512
74,91,250.815639
74,92,186.278409
74,93,160.312148
74,94,152.340857
74,95,183.278154
77,80,510.825268
77,81,452.590351
77,82,395.549075
77,84,224.954934
77,86,75.482593
77,89,157.132828
77,91,448.456792
77,92,364.901325
77,93,316.040541
77,94,227.780140
77,95,196.034339
80,81,60.210887
80,82,130.171437
80,84,292.400128
80,86,452.654749
80,89,659.831946
80,91,126.515725
80,92,183.365225
80,93,227.310987
80,94,314.991814
80,95,362.833145
81,82,71.720303
81,84,232.584045
81,86,393.136335
81,89,600.420313
81,91,89.453690
81,92,126.864079
81,93,168.294124
81,94,254.872327
81,95,302.744751
82,84,171.166870
82,86,331.628469
82,89,538.553900
82,91,66.547013
82,92,55.947670
82,93,97.147727
82,94,186.655442
82,95,234.124835
84,86,160.889831
84,89,368.179508
84,91,224.042276
84,92,141.645949
84,93,95.780278
84,94,51.243238
84,95,87.662159
86,89,207.321214
86,91,380.490221
86,92,296.286537
86,93,246.488664
86,94,155.353470
86,95,120.804541
89,91,584.965906
89,92,500.732379
89,93,450.500287
89,94,357.249214
89,95,314.818054
91,92,84.287704
91,93,134.468292
91,94,227.837216
91,95,272.467730
92,93,50.266788
92,94,143.778885
92,95,189.187667
93,94,93.525939
93,95,139.349169
94,95,47.931750
